site_net_kwh,site_net_kvarh,kva,tariff
1.898740864,1.811255093,10.49637033,OFF-PEAK
1.898740864,1.811255093,10.49637033,OFF-PEAK
1.800073266,1.758309791,10.06532033,OFF-PEAK
1.800073266,1.758309791,10.06532033,OFF-PEAK
1.729390243,1.789164302,9.953411082,OFF-PEAK
1.729390243,1.789164302,9.953411082,OFF-PEAK
2.44930148,1.780336506,12.11192854,OFF-PEAK
2.44930148,1.780336506,12.11192854,OFF-PEAK
2.484642991,1.798006748,12.2678631,OFF-PEAK
2.484642991,1.798006748,12.2678631,OFF-PEAK
3.171900682,1.740615925,14.47242771,OFF-PEAK
3.171900682,1.740615925,14.47242771,OFF-PEAK
3.154229926,1.745031371,14.41904347,OFF-PEAK
3.154229926,1.745031371,14.41904347,OFF-PEAK
3.132141481,1.74058101,14.33314062,OFF-PEAK
3.132141481,1.74058101,14.33314062,OFF-PEAK
3.145394548,1.749410068,14.3966343,OFF-PEAK
3.145394548,1.749410068,14.3966343,OFF-PEAK
3.193989127,1.727326728,14.52458559,OFF-PEAK
3.193989127,1.727326728,14.52458559,OFF-PEAK
3.171900682,1.749404707,14.48937308,OFF-PEAK
3.171900682,1.749404707,14.48937308,OFF-PEAK
3.127723792,1.767239875,14.36985339,OFF-PEAK
3.127723792,1.767239875,14.36985339,OFF-PEAK
3.105635347,1.749413362,14.25786409,OFF-PEAK
3.105635347,1.749413362,14.25786409,OFF-PEAK
3.074711525,1.678982753,14.01304195,OFF-PEAK
3.074711525,1.678982753,14.01304195,OFF-PEAK
3.291178284,1.762659055,14.93389243,OFF-PEAK
3.291178284,1.762659055,14.93389243,OFF-PEAK
3.260254461,1.780334314,14.85872103,OFF-PEAK
3.260254461,1.780334314,14.85872103,OFF-PEAK
3.185153749,1.784747926,14.6043991,OFF-PEAK
3.185153749,1.784747926,14.6043991,OFF-PEAK
3.198406816,1.797999484,14.67657088,OFF-PEAK
3.198406816,1.797999484,14.67657088,OFF-PEAK
3.189571438,1.749451453,14.55139655,OFF-PEAK
3.189571438,1.749451453,14.55139655,OFF-PEAK
3.242583705,1.745030099,14.72927921,OFF-PEAK
3.242583705,1.745030099,14.72927921,OFF-PEAK
3.193989127,1.780581954,14.62711927,OFF-PEAK
3.193989127,1.780581954,14.62711927,OFF-PEAK
3.101217658,1.683204675,14.11423618,OFF-PEAK
3.101217658,1.683204675,14.11423618,OFF-PEAK
3.242583705,1.811318276,14.85676841,OFF-PEAK
3.242583705,1.811318276,14.85676841,OFF-PEAK
3.286760595,1.80699964,15.00295593,OFF-PEAK
3.286760595,1.80699964,15.00295593,OFF-PEAK
3.366278997,1.798002551,15.26546296,OFF-PEAK
3.366278997,1.798002551,15.26546296,OFF-PEAK
3.255836772,1.811261074,14.90296065,OFF-PEAK
3.255836772,1.811261074,14.90296065,OFF-PEAK
3.238166017,1.793714884,14.8070968,OFF-PEAK
3.238166017,1.793714884,14.8070968,OFF-PEAK
3.242583705,1.811257582,14.85665002,OFF-PEAK
3.242583705,1.811257582,14.85665002,OFF-PEAK
3.304431351,1.797999335,15.04769386,OFF-PEAK
3.304431351,1.797999335,15.04769386,OFF-PEAK
3.269089839,1.780328953,14.88973851,OFF-PEAK
3.269089839,1.780328953,14.88973851,OFF-PEAK
3.247001394,1.736181697,14.72812001,OFF-PEAK
3.247001394,1.736181697,14.72812001,OFF-PEAK
3.208025743,1.899651533,14.91313789,OFF-PEAK
3.208025743,1.899651533,14.91313789,OFF-PEAK
3.256620321,1.882115148,15.04549546,OFF-PEAK
3.256620321,1.882115148,15.04549546,OFF-PEAK
3.317412857,3.264673708,18.61754978,PEAK
3.317412857,3.264673708,18.61754978,PEAK
6.723451054,6.508633165,37.43091765,PEAK
6.723451054,6.508633165,37.43091765,PEAK
6.2988447,6.097215006,35.06598931,PEAK
6.2988447,6.097215006,35.06598931,PEAK
7.831782773,7.816256917,44.25936169,PEAK
7.831782773,7.816256917,44.25936169,PEAK
7.127273931,7.85075278,42.41364929,PEAK
7.127273931,7.85075278,42.41364929,PEAK
7.13169162,7.836991437,42.38480108,PEAK
7.13169162,7.836991437,42.38480108,PEAK
7.078474,7.731594418,41.92991226,PEAK
7.078474,7.731594418,41.92991226,PEAK
7.060803244,8.08004529,42.92171,PEAK
7.060803244,8.08004529,42.92171,PEAK
7.009940821,8.234817227,43.25764397,PEAK
7.009940821,8.234817227,43.25764397,PEAK
6.890663219,8.296442448,43.13925301,PEAK
6.890663219,8.296442448,43.13925301,PEAK
6.142382538,8.11124778,40.69814812,PEAK
6.142382538,8.11124778,40.69814812,PEAK
1.185735511,2.416732202,10.76777655,PEAK
1.185735511,2.416732202,10.76777655,PEAK
3.933225615,4.78125213,24.76469606,PEAK
3.933225615,4.78125213,24.76469606,PEAK
5.492669822,6.340170341,33.55405948,PEAK
5.492669822,6.340170341,33.55405948,PEAK
5.765086624,7.385799522,37.4777285,PEAK
5.765086624,7.385799522,37.4777285,PEAK
5.804845825,7.446794902,37.76792064,PEAK
